Date,Production,Lag3_Plantation,Plantation,Lag4_Plantation,Soya_Price,Lag1_Soya_Price,Lag3_Soya_Price,Lag6_Soya_Price
3/1/2020,0,0,0,0,354.4708581,372.359677,369.5763796,367.6797912
4/1/2020,0,0,0,0,360.0217309,354.4708581,371.6883376,361.1806687
5/1/2020,0,0,0,0,361.6405351,360.0217309,372.359677,363.0758268
6/1/2020,0,0,0,0,362.4266938,361.6405351,354.4708581,369.5763796
7/1/2020,0,0,0,0,369.9010025,362.4266938,360.0217309,371.6883376
8/1/2020,0,0,0.006067336,0,366.9921736,369.9010025,361.6405351,372.359677
9/1/2020,0,0,338.2258606,0,362.2480451,366.9921736,362.4266938,354.4708581
10/1/2020,0,0,19.07493372,0,354.8592868,362.2480451,369.9010025,360.0217309
11/1/2020,0,0.006067336,0,0,356.5427808,354.8592868,366.9921736,361.6405351
12/1/2020,0,338.2258606,0,0.006067336,363.0438674,356.5427808,362.2480451,362.4266938
